docname,topic,proportion
ADHD103,000,0.247117
ADHD103,002,0.079543
ADHD103,005,0.007688
ADHD76,001,1.0
ADHD25,001,0.775355
ADHD25,000,0.224645
ADHD89,000,0.850194
ADHD89,001,0.137097
ADHD89,005,0.012708
ADHD28,001,0.856735
ADHD28,000,0.143265
ADHD82,001,0.682662
ADHD82,000,0.317338
ADHD95,001,0.629605
ADHD95,000,0.370395
ADHD2,001,0.650742
ADHD2,000,0.262387
ADHD2,005,0.067441
ADHD2,002,0.01943
ADHD154,001,0.944135
ADHD154,000,0.055865
ADHD228,000,0.788092
ADHD228,002,0.117058
ADHD228,001,0.085882
ADHD228,005,0.008968
ADHD47,000,0.730658
ADHD47,001,0.269342
ADHD92,005,1.0
ADHD8,000,1.0
ADHD19,001,0.770831
ADHD19,000,0.229169
ADHD26,000,0.613982
ADHD26,001,0.386018
ADHD132,000,0.896394
ADHD132,004,0.064447
ADHD132,001,0.039159
ADHD71,000,0.727052
ADHD71,004,0.215571
ADHD71,002,0.049359
ADHD71,001,0.008018
ADHD70,001,0.748948
ADHD70,000,0.199705
ADHD70,002,0.051346
ADHD200,001,0.536328
ADHD200,002,0.428286
ADHD200,000,0.035386
ADHD49,001,1.0
ADHD164,001,0.526814
ADHD164,000,0.355486
ADHD164,002,0.061429
ADHD164,005,0.056271
ADHD67,000,0.911917
ADHD67,001,0.071981
ADHD67,002,0.016102
ADHD110,002,0.731596
ADHD110,000,0.159198
ADHD110,001,0.109206
ADHD134,000,0.826786
ADHD134,002,0.087726
ADHD134,001,0.044187
ADHD134,005,0.0413
ADHD77,000,0.908018
ADHD77,001,0.081638
ADHD77,002,0.010344
ADHD120,001,0.517569
ADHD120,000,0.35278
ADHD120,002,0.108851
ADHD120,005,0.014479
ADHD120,006,0.006321
ADHD86,000,0.865137
ADHD86,001,0.085903
ADHD86,002,0.042379
ADHD86,005,0.006581
