docname,topic,proportion
ADHD7,000,0.355015
ADHD7,003,0.160034
ADHD7,005,0.02989
ADHD7,002,0.023251
ADHD148,000,0.52295
ADHD148,002,0.305021
ADHD148,001,0.172029
ADHD206,000,0.776686
ADHD206,001,0.217451
ADHD206,002,0.005863
ADHD188,000,0.823587
ADHD188,001,0.176413
ADHD79,001,1.0
ADHD87,003,0.497045
ADHD87,001,0.461812
ADHD87,000,0.041143
ADHD17,000,0.978164
ADHD17,004,0.021836
ADHD224,001,0.491139
ADHD224,000,0.428588
ADHD224,005,0.042736
ADHD224,002,0.037536
ADHD140,000,0.914523
ADHD140,001,0.072549
ADHD140,002,0.012928
ADHD136,000,0.472153
ADHD136,002,0.457915
ADHD136,001,0.069932
ADHD203,001,0.547203
ADHD203,000,0.452797
ADHD19,001,0.770824
ADHD19,000,0.229176
ADHD129,005,1.0
ADHD20,000,0.74981
ADHD20,001,0.098392
ADHD20,006,0.077377
ADHD20,002,0.074421
ADHD73,000,0.638183
ADHD73,001,0.361817
ADHD91,002,1.0
ADHD209,000,0.638099
ADHD209,004,0.245123
ADHD209,002,0.058777
ADHD209,001,0.058
ADHD53,002,0.720381
ADHD53,001,0.255486
ADHD53,000,0.024133
ADHD16,000,0.453566
ADHD16,001,0.353838
ADHD16,002,0.166591
ADHD16,005,0.026004
ADHD175,000,1.0
ADHD92,005,1.0
ADHD56,001,0.592525
ADHD56,002,0.25404
ADHD56,000,0.153436
ADHD172,002,0.684341
ADHD172,000,0.315659
ADHD208,000,0.749237
ADHD208,002,0.186085
ADHD208,001,0.064677
ADHD117,000,0.940524
ADHD117,002,0.048166
ADHD117,005,0.01131
ADHD76,001,1.0
ADHD234,000,0.983063
ADHD234,001,0.016937
ADHD230,000,0.933958
ADHD230,002,0.061781
ADHD230,001,0.004261
ADHD125,000,0.70152
ADHD125,001,0.285149
ADHD125,005,0.013331
ADHD32,003,1.0
ADHD144,000,0.55317
ADHD144,002,0.330024
ADHD144,001,0.116806
ADHD106,000,0.760843
ADHD106,001,0.170465
ADHD106,005,0.057406
ADHD106,006,0.011287
ADHD174,001,0.978828
ADHD174,000,0.021172
ADHD196,000,0.850303
ADHD196,001,0.149697
ADHD41,002,0.579076
ADHD41,000,0.337991
ADHD41,001,0.082932
ADHD67,000,0.911932
ADHD67,001,0.071984
ADHD67,002,0.016084
ADHD47,000,0.730697
ADHD47,001,0.269303
ADHD189,000,0.850499
ADHD189,002,0.123982
ADHD189,001,0.025518
ADHD195,001,0.89036
ADHD195,000,0.073341
ADHD195,005,0.036298
ADHD181,002,0.472049
ADHD181,000,0.362998
ADHD181,001,0.164953
ADHD137,002,0.538188
ADHD137,000,0.381637
ADHD137,006,0.04142
ADHD137,005,0.025755
ADHD137,001,0.013
ADHD61,000,0.665914
ADHD61,002,0.318752
ADHD61,001,0.015335
ADHD207,000,0.963311
ADHD207,006,0.036689
ADHD60,001,0.822237
ADHD60,000,0.159936
ADHD60,005,0.017827
ADHD42,001,0.905508
ADHD42,000,0.094492
ADHD37,001,0.601314
ADHD37,000,0.217248
ADHD37,002,0.181437
ADHD58,002,0.9479
ADHD58,001,0.0521
ADHD153,000,0.937783
ADHD153,002,0.045387
ADHD153,001,0.016829
ADHD57,002,0.83713
ADHD57,000,0.16287
ADHD102,000,0.84634
ADHD102,001,0.14739
ADHD102,002,0.006269
ADHD226,007,1.0
ADHD118,004,1.0
ADHD120,001,0.517557
ADHD120,000,0.352798
ADHD120,002,0.108847
ADHD120,005,0.014478
ADHD120,006,0.00632
ADHD168,000,0.858884
ADHD168,001,0.120545
ADHD168,002,0.02057
ADHD199,000,0.976352
ADHD199,001,0.023648
ADHD108,002,0.508625
ADHD108,000,0.248039
ADHD108,001,0.182301
ADHD108,004,0.061035
ADHD110,002,0.731589
ADHD110,000,0.159211
ADHD110,001,0.1092
ADHD131,000,0.957642
ADHD131,002,0.042358
ADHD139,000,0.488682
ADHD139,001,0.480252
ADHD139,005,0.031066
ADHD127,000,0.920863
ADHD127,001,0.063283
ADHD127,007,0.015854
ADHD115,001,0.816933
ADHD115,002,0.144823
ADHD115,005,0.028898
ADHD115,000,0.009345
ADHD183,000,0.609038
ADHD183,001,0.281702
ADHD183,002,0.10926
ADHD101,002,0.71343
ADHD101,000,0.177058
ADHD101,001,0.109512
ADHD48,002,0.964072
ADHD48,000,0.035928
ADHD40,001,0.512723
ADHD40,002,0.354095
ADHD40,000,0.11801
ADHD40,007,0.015172
ADHD158,000,0.772673
ADHD158,001,0.180725
ADHD158,002,0.046602
ADHD104,000,0.90272
ADHD104,001,0.061008
ADHD104,004,0.036272
ADHD93,000,0.629703
ADHD93,001,0.333571
ADHD93,005,0.036726
ADHD43,001,0.820084
ADHD43,002,0.10503
ADHD43,000,0.074886
ADHD22,000,0.443861
ADHD22,002,0.378619
ADHD22,001,0.17752
ADHD59,000,0.563783
ADHD59,001,0.405048
ADHD59,002,0.031169
ADHD105,001,0.781453
ADHD105,000,0.155926
ADHD105,002,0.062622
ADHD145,002,0.912105
ADHD145,000,0.087895
ADHD36,001,0.928798
ADHD36,000,0.071202
ADHD216,002,0.81929
ADHD216,000,0.18071
ADHD192,001,0.692251
ADHD192,000,0.307749
ADHD2,001,0.650721
ADHD2,000,0.262418
ADHD2,005,0.067438
ADHD2,002,0.019423
ADHD147,000,0.914236
ADHD147,004,0.048357
ADHD147,001,0.037407
ADHD191,000,0.828595
ADHD191,001,0.158482
ADHD191,005,0.012922
ADHD190,000,0.837792
ADHD190,002,0.150204
ADHD190,001,0.012004
ADHD82,001,0.682639
ADHD82,000,0.317361
ADHD142,001,0.799764
ADHD142,000,0.200236
ADHD151,002,0.719279
ADHD151,000,0.236211
ADHD151,001,0.04451
ADHD54,006,1.0
ADHD198,000,0.910318
ADHD198,001,0.073038
ADHD198,002,0.012927
ADHD198,005,0.003717
ADHD221,001,0.696952
ADHD221,000,0.303048
ADHD228,000,0.788085
ADHD228,002,0.117062
ADHD228,001,0.085886
ADHD228,005,0.008967
